Passport,New Score,New Rank,Old Score,Old Rank,Update
Nicaragua,991.78,86,309,89,3
Niger,291.5799999999999,164,145,159,-5
Nigeria,249.91999999999996,180,125,176,-4
North Korea,207.58999999999997,193,107,187,-6
North Macedonia,992.58,85,317,86,1
Norway,1370.3000000000002,17,449,21,4
Oman,482.97999999999996,117,208,113,-4
Pakistan,195.15999999999997,195,90,195,0
Palau,940.47,90,296,93,3
Palestine,225.99,188,104,192,4
Panama,1119.7400000000002,64,350,69,5
Papua New Guinea,477.62,118,196,118,0
Paraguay,1126.42,63,355,66,3
Peru,1128.66,62,360,65,3
Philippines,440.14,121,184,125,4
Poland,1361.77,25,445,26,1
Portugal,1378.23,11,452,13,2
Qatar,605.03,100,252,97,-3
Romania,1347.0500000000002,35,438,37,2
Russia,818.6700000000001,94,319,84,-10
Rwanda,323.26,150,159,142,-8
Saint Kitts and Nevis,1184.7800000000002,55,378,57,2
Saint Lucia,1106.85,69,354,67,-2
Saint Vincent and the Grenadines,1182.69,56,373,58,2
Samoa,1025.4,80,331,78,-2
San Marino,1246.0500000000002,47,401,47,0
Sao Tome and Principe,358.96,142,157,147,5
Saudi Arabia,490.4,116,213,110,-6
Senegal,321.34,151,158,143,-8
Serbia,1066.23,75,346,70,-5
Seychelles,1144.27,61,378,56,-5
Sierra Leone,384.16999999999996,136,167,140,4
Singapore,1367.79,20,460,2,-18
Slovakia,1359.59,27,443,29,2
Slovenia,1361.3000000000002,26,444,27,1
Solomon Islands,1068.15,72,341,72,0
Somalia,185.28,196,89,196,0
South Africa,672.4599999999999,97,261,96,-1
South Korea,1366.5300000000002,21,449,20,-1
South Sudan,235.86999999999998,186,114,186,0
Spain,1381.43,6,455,8,2
Sri Lanka,272.95,175,119,178,3
Sudan,212.85000000000002,191,104,191,0
Suriname,505.71999999999997,111,194,119,8
Swaziland,490.42,115,200,116,1
Sweden,1381.1100000000001,7,453,10,3
Switzerland,1371.88,14,451,16,2
Syria,172.88,197,88,197,0
Taiwan,1051.8300000000002,78,331,76,-2
Tajikistan,347.15999999999997,145,158,144,-1
Tanzania,430.45,124,187,122,-2
Thailand,526.58,109,214,108,-1
Timor-Leste,784.1700000000001,95,250,98,3
Togo,297.9,160,145,158,-2
Tonga,1006.91,82,323,82,0
Trinidad and Tobago,1158.47,59,370,60,1
Tunisia,401.28999999999996,135,182,128,-7
Turkey,781.67,96,308,90,-6
Turkmenistan,300.44,158,139,164,6
Tuvalu,1027.1100000000001,79,327,80,1
Uganda,409.98,131,178,130,-1
Ukraine,1113.71,66,363,63,-3
United Arab Emirates,1341.2400000000002,37,464,1,-36
United Kingdom,1357.54,30,444,28,-2
United States,1369.12,19,449,19,0
Uruguay,1215.29,52,386,53,1
Uzbekistan,347.15999999999997,144,158,146,2
Vanuatu,1055.8200000000002,77,340,73,-4
Vatican,1174.51,58,378,55,-3
Venezuela,1021.66,81,334,74,-7
Vietnam,334.03999999999996,146,149,153,7
Yemen,195.54000000000002,194,97,194,0
Zambia,435.88,123,183,126,3
Zimbabwe,406.25,134,175,133,-1
